start 08:24:20
08:24:25,-432,11665,3363
08:24:30,-432,11665,3363
08:24:35,-432,11665,3363
08:24:40,-432,11665,3363
08:24:46,-557,11641,3375
08:24:51,-557,11641,3375
08:24:56,-557,11641,3375
08:25:01,-557,11641,3375
08:25:06,-557,11641,3375
08:25:11,-557,11641,3375
08:25:17,-557,11641,3375
08:25:22,-557,11641,3375
08:25:27,-557,11641,3375
08:25:32,-557,11641,3375
08:25:37,-557,11641,3375
08:25:42,-557,11641,3375
08:25:47,-428,11660,3353
08:25:53,-428,11660,3353
08:25:58,-428,11660,3353
08:26:03,-428,11660,3353
08:26:08,-428,11660,3353
08:26:13,-428,11660,3353
08:26:18,-428,11660,3353
08:26:24,-428,11660,3353
08:26:29,-428,11660,3353
08:26:34,-428,11660,3353
08:26:39,-428,11660,3353
08:26:44,-428,11660,3353
08:26:49,-438,11658,3360
08:26:54,-438,11658,3360
08:27:00,-438,11658,3360
08:27:05,-438,11658,3360
08:27:10,-438,11658,3360
08:27:15,-438,11658,3360
08:27:20,-438,11658,3360
08:27:25,-438,11658,3360
08:27:31,-438,11658,3360
08:27:36,-438,11658,3360
08:27:41,-438,11658,3360
08:27:46,-416,11657,3352
08:27:51,-416,11657,3352
08:27:56,-416,11657,3352
08:28:01,-416,11657,3352
08:28:07,-416,11657,3352
08:28:12,-416,11657,3352
08:28:17,-416,11657,3352
08:28:22,-416,11657,3352
08:28:27,-416,11657,3352
08:28:32,-416,11657,3352
08:28:38,-416,11657,3352
08:28:43,-416,11657,3352
08:28:48,-426,11655,3345
08:28:53,-426,11655,3345
08:28:58,-426,11655,3345
08:29:03,-426,11655,3345
08:29:08,-426,11655,3345
08:29:14,-426,11655,3345
08:29:19,-426,11655,3345
08:29:24,-426,11655,3345
08:29:29,-426,11655,3345
08:29:34,-426,11655,3345
08:29:39,-426,11655,3345
08:29:45,-426,11655,3345
08:29:50,-478,11645,3338
08:29:55,-478,11645,3338
08:30:00,-478,11645,3338
08:30:05,-478,11645,3338
08:30:10,-478,11645,3338
08:30:16,-478,11645,3338
08:30:21,-478,11645,3338
