ts_ms,ic_balance,ic_credit,ic_debit,phys_footprint
1786392069357,0,0,0,4530116755
1786392139204,0,0,0,4532264239
1786392149271,0,0,0,4532264239
1786392159268,0,0,0,4532264239
1786392169287,0,0,0,4532264239
1786392179485,0,0,0,4533337980
1786392189687,0,0,0,4533337980
1786392199698,0,0,0,4533337980
1786392209730,0,0,0,4533337980
1786392219737,0,0,0,4533337980
1786392229780,0,0,0,4533337980
1786392239804,0,0,0,4533337980
1786392250006,0,0,0,4533337980
1786392260185,0,0,0,4533337980
1786392270373,0,0,0,4533337980
1786392280404,0,0,0,4533337980
1786392290451,0,0,0,4533337980
1786392300455,0,0,0,4533337980
1786392310477,0,0,0,4533337980
1786392320489,0,0,0,4533337980
1786392330553,0,0,0,4534411722
1786392340606,0,0,0,4534411722
1786392350790,0,0,0,4534411722
1786392360828,0,0,0,4534411722
1786392369412,0,0,0,4534411722
1786392429524,0,0,0,4576287653
1786392490827,61203283,61203283,0,4421668831
1786392551295,61203283,61203283,0,4434553733
1786392621506,61203283,61203283,0,4435627474
1786392631546,61203283,61203283,0,4435627474
1786392641599,61203283,61203283,0,4435627474
1786392651610,61203283,61203283,0,4435627474
1786392661652,61203283,61203283,0,4435627474
1786392671663,61203283,61203283,0,4435627474
1786392681665,61203283,61203283,0,4435627474
1786392691711,61203283,61203283,0,4436701216
1786392701760,61203283,61203283,0,4436701216
1786392711793,61203283,61203283,0,4436701216
1786392721805,61203283,61203283,0,4436701216
1786392731840,61203283,61203283,0,4436701216
1786392741853,61203283,61203283,0,4436701216
1786392751866,61203283,61203283,0,4436701216
1786392761902,61203283,61203283,0,4436701216
1786392771956,61203283,61203283,0,4436701216
1786392782161,61203283,61203283,0,4436701216
1786392792175,61203283,61203283,0,4436701216
1786392802222,61203283,61203283,0,4436701216
1786392812262,61203283,61203283,0,4436701216
1786392822294,61203283,61203283,0,4436701216
1786392832308,61203283,61203283,0,4436701216
1786392842358,61203283,61203283,0,4436701216
1786392851546,61203283,61203283,0,4436701216
1786392911600,54760833,61203283,5368709,4292819812
1786392972845,54760833,61203283,6442450,4293893554
1786393033124,54760833,61203283,6442450,4294967296
1786393103034,54760833,61203283,6442450,4296041037
1786393113236,54760833,61203283,6442450,4296041037
1786393123264,54760833,61203283,6442450,4296041037
1786393133268,54760833,61203283,6442450,4296041037
1786393143284,54760833,61203283,6442450,4296041037
1786393153340,54760833,61203283,6442450,4296041037
1786393163527,54760833,61203283,6442450,4296041037
1786393173530,54760833,61203283,6442450,4296041037
1786393183554,54760833,61203283,6442450,4296041037
1786393193583,54760833,61203283,6442450,4296041037
1786393203618,54760833,61203283,6442450,4296041037
1786393213674,54760833,61203283,6442450,4296041037
1786393223676,54760833,61203283,6442450,4296041037
1786393233698,54760833,61203283,6442450,4296041037
1786393243762,53687091,61203283,6442450,4296041037
1786393253958,53687091,61203283,6442450,4296041037
1786393264146,53687091,61203283,6442450,4296041037
1786393274341,53687091,61203283,6442450,4296041037
1786393284346,53687091,61203283,6442450,4296041037
1786393294380,53687091,61203283,6442450,4296041037
1786393304428,53687091,61203283,6442450,4296041037
1786393314465,53687091,61203283,6442450,4297114779
1786393324469,53687091,61203283,6442450,4297114779
1786393333227,53687091,61203283,6442450,4297114779
1786393393343,53687091,61203283,7516192,4188666855
1786393454339,53687091,61203283,7516192,4188666855
1786393514624,53687091,61203283,7516192,4189740597
1786393584464,53687091,61203283,7516192,4196183048
1786393594482,53687091,61203283,7516192,4205846724
1786393604526,52613349,61203283,8589934,4207994208
1786393614576,52613349,61203283,8589934,4209067950
1786393624630,52613349,61203283,8589934,4210141691
1786393634663,52613349,61203283,8589934,4210141691
1786393644699,52613349,61203283,8589934,4210141691
1786393654743,52613349,61203283,8589934,4210141691
1786393664779,52613349,61203283,8589934,4210141691
1786393674784,52613349,61203283,8589934,4210141691
1786393684783,52613349,61203283,8589934,4210141691
1786393694992,52613349,61203283,8589934,4210141691
1786393705012,52613349,61203283,8589934,4210141691
1786393715058,52613349,61203283,8589934,4210141691
1786393725266,52613349,61203283,8589934,4210141691
1786393735288,52613349,61203283,8589934,4210141691
1786393745481,52613349,61203283,8589934,4210141691
1786393755676,52613349,61203283,8589934,4210141691
1786393765898,52613349,61203283,8589934,4210141691
1786393775966,52613349,61203283,8589934,4210141691
1786393785964,52613349,61203283,8589934,4210141691
1786393795998,52613349,61203283,8589934,4210141691
1786393806207,52613349,61203283,8589934,4210141691
1786393814775,52613349,61203283,8589934,4210141691
1786393874790,52613349,61203283,8589934,4202625499
1786393935891,51539607,61203283,9663676,4174708211
1786393996144,51539607,61203283,9663676,4174708211
1786394066048,51539607,61203283,9663676,4174708211
1786394076244,51539607,61203283,9663676,4174708211
1786394086284,51539607,61203283,9663676,4174708211
1786394096453,51539607,61203283,9663676,4174708211
1786394106478,51539607,61203283,9663676,4174708211
1786394116510,51539607,61203283,9663676,4174708211
1786394126534,51539607,61203283,9663676,4174708211
1786394136557,51539607,61203283,9663676,4174708211
1786394146612,51539607,61203283,9663676,4174708211
1786394156811,51539607,61203283,9663676,4174708211
1786394167013,51539607,61203283,9663676,4174708211
1786394177020,51539607,61203283,9663676,4174708211
1786394187055,51539607,61203283,9663676,4174708211
1786394197070,51539607,61203283,9663676,4174708211
1786394207245,51539607,61203283,9663676,4174708211
1786394217259,51539607,61203283,9663676,4174708211
1786394227268,51539607,61203283,9663676,4174708211
1786394237455,51539607,61203283,9663676,4174708211
1786394247489,51539607,61203283,9663676,4174708211
1786394257696,51539607,61203283,9663676,4174708211
1786394267713,51539607,61203283,9663676,4174708211
1786394277735,51539607,61203283,9663676,4174708211
1786394287774,51539607,61203283,9663676,4174708211
1786394296358,51539607,61203283,9663676,4174708211
1786394356460,50465865,61203283,10737418,4100620025
1786394417594,50465865,61203283,10737418,4102767509
