ts_ms,target,actual,reclaimed,worker_footprint
1786377383053,1073741824,1073741824,1073741824,1521323512
1786377384265,1342177280,1342177280,1342177280,1514065592
1786377385469,1610612736,1564475392,1564868608,1514409800
1786377386680,1610612736,1610612736,1610612736,1514327928
1786377387892,1879048192,1879048192,1879048192,1514147896
1786377389102,1879048192,1879048192,1879048192,1514213432
1786377390308,2147483648,2147483648,2147483648,1487458480
1786377391510,2415919104,2385510400,2385510400,1484099880
1786377392722,2415919104,2415919104,2415919104,1483149632
1786377393927,2684354560,2684354560,2684354560,1483280896
1786377395130,2684354560,2684354560,2684354560,1483362840
1786377396336,2952790016,2952790016,2952790016,1483510488
1786377397544,3221225472,3168796672,3168796672,1484821352
1786377398755,3221225472,3221225472,3221225472,1483969432
1786377399966,3489660928,3489660928,3489660928,1484149848
1786377401176,3489660928,3489660928,3489660928,1484199000
1786377402382,3758096384,3758096384,3758096384,1484346648
1786377403585,4005904384,3916431360,3916431360,1508464064
1786377404787,4005904384,4005904384,4005904384,1507972592
1786377405722,4005904384,4005904384,4005904384,1687344816
1786377405924,4005904384,4005904384,4005904384,1754552032
1786377406124,4005904384,4005904384,4005904384,1888933696
1786377406335,4005904384,4005904384,4005904384,2007209864
1786377406536,3459645440,3784654848,4005904384,2074417080
1786377407210,3459645440,3459645440,4005904384,2100123624
1786377407421,3459645440,3459645440,4005904384,2103941120
1786377407622,2869657600,2967863296,4005904384,2150520856
1786377407829,2869657600,2869657600,4005904384,2150537240
1786377408040,2869657600,2869657600,4005904384,2150537240
1786377408737,2332327936,2332327936,4005904384,2169444424
1786377408941,2332327936,2332327936,4005904384,2169444424
1786377409149,2332327936,2332327936,4005904384,2169444424
1786377409361,2332327936,2332327936,4005904384,2169444424
1786377409564,1803649024,2059698176,4005904384,2169444424
1786377410251,1803649024,1803649024,4005904384,2170378336
1786377410454,1193689088,1796308992,4005904384,2170411104
1786377410657,1193689088,1221689344,4005904384,2170411104
1786377410867,1193689088,1193689088,4005904384,2170411104
1786377411075,1193689088,1193689088,4005904384,2170411104
1786377411772,652541952,652541952,4005904384,2171017336
1786377411983,652541952,652541952,4005904384,2171017336
1786377412191,652541952,652541952,4005904384,2171033720
1786377412394,652541952,652541952,4005904384,2171017336
1786377412601,652541952,652541952,4005904384,2171017336
1786377413044,652541952,652541952,4005904384,2171230328
1786377413255,652541952,652541952,4005904384,2171230328
1786377413466,652541952,652541952,4005904384,2171230328
1786377413676,652541952,652541952,4005904384,2171230328
1786377413881,652541952,652541952,4005904384,2171230328
1786377414089,652541952,652541952,4005904384,2171230328
1786377414292,652541952,652541952,4005904384,2171246712
1786377414503,652541952,652541952,4005904384,2171230328
1786377414712,652541952,652541952,4005904384,2171230328
1786377414921,652541952,652541952,4005904384,2171230328
1786377415128,652541952,652541952,4005904384,2171230328
1786377415331,652541952,652541952,4005904384,2171230328
1786377415539,652541952,652541952,4005904384,2171230328
1786377415741,652541952,652541952,4005904384,2171230328
1786377415952,652541952,652541952,4005904384,2171230328
1786377416157,652541952,652541952,4005904384,2171230328
1786377416368,652541952,652541952,4005904384,2171230328
1786377416577,652541952,652541952,4005904384,2171230328
1786377416788,652541952,652541952,4005904384,2171230328
1786377416995,652541952,652541952,4005904384,2171230328
1786377417199,652541952,652541952,4005904384,2171230328
1786377417410,652541952,652541952,4005904384,2171230328
1786377417617,652541952,652541952,4005904384,2171230328
1786377417825,652541952,652541952,4005904384,2171230328
1786377418034,652541952,652541952,4005904384,2171230328
