ts,pid,ic_bal_g,ic_cred_g,ic_deb_g,int_bal_g,reus_bal_g,reus_cred_g,pf_g,stored_pages,occupied_pages,seg_total,seg_swapped,swap_used_mb
1786388805,68019,2.207,2.767,0.560,6.489,2.951,18.112,9.685,3513093,299584,482588,374942,free
1786388821,68019,2.207,2.767,0.560,6.489,2.951,18.112,9.910,3512445,299279,482588,374939,24908.06
1786389123,68019,2.212,2.774,0.562,6.478,2.660,18.122,9.689,3503936,295303,475549,374802,24884.06
