ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786377304287,6117392,5217376,4955712,386608,6117360,0,1087,0,27,157,534582,123,420637,553,0,0,0,0,0,0,0
1786377304537,6117392,5217152,4955680,387024,6117360,0,1087,0,27,165,553237,137,439260,554,0,0,0,0,0,0,0
1786377304788,6117392,5220112,4958736,387232,6117360,0,1087,0,27,165,571272,137,457282,554,0,0,0,0,0,0,0
1786377305048,5681168,4805904,4546272,387312,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377305309,5140496,4268304,4010784,387312,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377305566,4529168,3654480,3399360,387312,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377305817,4039696,3154944,2901600,387312,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377306069,3438608,2556480,2303136,387312,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377306330,2971664,2087184,1833840,387328,6117360,0,1087,0,27,165,571388,137,457398,555,0,0,0,0,0,0,0
1786377306581,2971664,2087184,1833840,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377306839,2971664,2087184,1833840,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377307089,2971664,2087168,1833824,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377307343,2971664,2086464,1833120,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377307612,2971664,2086464,1833120,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377307868,2971664,2086464,1833120,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377308128,2971664,2086464,1833120,387328,6117360,0,1087,0,27,153,571388,130,457398,555,0,0,0,0,0,0,0
1786377308387,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377308648,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377308908,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377309167,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377309429,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377309683,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377309946,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377310213,2971664,2086464,1833120,387328,6117360,0,1087,0,27,125,571388,107,457398,555,0,0,0,0,0,0,0
1786377310475,2971664,2086464,1833120,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377310734,2971664,2086464,1833120,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377310988,2971664,2086464,1833120,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377311239,2971664,2086464,1833120,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377311491,3439632,2508864,2255520,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377311743,4221968,3260928,3007008,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377311994,5027856,4060224,3803152,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377312246,5843984,4886880,4626624,387328,6117360,0,1087,0,27,102,571388,87,457398,555,0,0,0,0,0,0,0
1786377312505,6117392,5156256,4894928,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377312756,6117392,5156256,4894928,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377313013,6117392,5156256,4894928,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377313267,6117392,5157664,4896336,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377313520,6117392,5157664,4896336,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377313773,6117392,5157664,4896336,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377314033,6117392,5157664,4896336,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377314294,6117392,5157664,4896336,387328,6117360,0,1087,0,27,84,571388,71,457398,555,0,0,0,0,0,0,0
1786377314548,6117392,5157664,4896336,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377314805,6117392,5157664,4896336,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377315062,6117392,5157664,4896336,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377315324,6117392,5157664,4896352,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377315584,6117392,5157664,4896352,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377315838,6117392,5157664,4896352,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377316099,6117392,5157664,4896352,387328,6117360,0,1087,0,27,68,571388,57,457398,555,0,0,0,0,0,0,0
1786377316360,6117392,5157664,4896352,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377316611,6117392,5157664,4896352,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377316871,6117392,5157664,4896352,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377317133,6117392,5157664,4896352,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377317384,6117392,5157664,4896352,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377317636,6037520,5112080,4851072,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377317888,5472272,4551456,4292656,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377318146,4913168,3990832,3734224,387328,6117360,0,1087,0,27,56,571388,48,457398,555,0,0,0,0,0,0,0
1786377318402,4331536,3406864,3152528,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377318663,3748880,2862400,2609072,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377318917,3188752,2301184,2047856,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377319178,2971664,2086144,1832816,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377319433,2971664,2086144,1832816,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377319695,2971664,2086144,1832816,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377319951,2971664,2086144,1832816,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377320211,2971664,2086144,1832816,387328,6117360,0,1087,0,27,46,571388,39,457398,555,0,0,0,0,0,0,0
1786377320467,2971664,2078464,1825376,387824,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377320721,2971664,2078464,1825376,387824,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377320980,2971664,2078464,1825376,387824,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377321232,2971664,2078464,1825376,387824,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377321486,2971664,2078224,1825136,387840,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377321743,2971664,2078224,1825136,387840,6117360,0,1087,0,27,110,659750,104,545465,555,0,0,0,0,0,0,0
1786377321996,2971664,2077984,1824912,387888,6117360,0,1087,0,27,110,672149,104,557771,555,0,0,0,0,0,0,0
1786377322254,2971664,2077984,1824912,387888,6117360,0,1087,0,27,110,672149,104,557771,555,0,0,0,0,0,0,0
1786377322511,2971664,2077984,1824912,387888,6117360,0,1087,0,27,90,672149,85,557771,555,0,0,0,0,0,0,0
1786377322770,2971664,2077984,1824912,387888,6117360,0,1087,0,27,90,672149,85,557771,555,0,0,0,0,0,0,0
1786377323024,2971664,2077392,1824320,387952,6117360,0,1087,0,27,90,672248,85,557871,555,0,0,0,0,0,0,0
1786377323277,2971664,2076544,1823488,388000,6117360,0,1087,0,27,90,672248,85,557871,555,0,0,0,0,0,0,0
1786377323537,2971664,2076304,1823280,388000,6117360,0,1087,0,27,90,672248,85,557871,555,0,0,0,0,0,0,0
1786377323793,2971664,2076304,1823280,388000,6117360,0,1087,0,27,90,672248,85,557871,555,0,0,0,0,0,0,0
1786377324051,2971664,2076304,1823328,388128,6117360,0,1087,0,27,90,674555,85,560154,555,0,0,0,0,0,0,0
1786377324304,3139600,2213968,1960992,388128,6117360,0,1087,0,27,90,674555,85,560154,555,0,0,0,0,0,0,0
1786377324565,3956752,3028624,2775664,388128,6117360,0,1087,0,27,73,675461,70,560997,555,0,0,0,0,0,0,0
1786377324818,4769808,3811408,3555728,388128,6117360,0,1087,0,27,73,675461,70,560997,555,0,0,0,0,0,0,0
1786377325070,5574672,4618384,4359552,388128,6117360,0,1087,0,27,73,700487,70,584598,555,0,0,0,0,0,0,0
