ts_ms,mem_total_kib,mem_free_kib,mem_available_kib,cached_kib,swap_free_kib,mem_some_avg10,mem_some_total_us,mem_full_avg10,mem_full_total_us,io_some_avg10,io_some_total_us,io_full_avg10,io_full_total_us,pgmajfault,pswpin,pswpout,pgscan_kswapd,pgsteal_kswapd,pgscan_direct,pgsteal_direct,kswapd_cpu_ticks
1786373187884,3982624,3348072,3542944,320444,3982332,0,22,0,4,199,512809,159,420586,277,0,0,0,0,0,0,0
1786373188135,3982624,3344556,3539692,320684,3982332,0,22,0,4,199,528246,159,435147,277,0,0,0,0,0,0,0
1786373188389,3982624,3343884,3539476,321080,3982332,0,22,0,4,199,546991,159,453836,277,0,0,0,0,0,0,0
1786373188640,3982624,3340104,3536152,321552,3982332,0,22,0,4,199,565066,159,471591,278,0,0,0,0,0,0,0
1786373188896,3982624,2963400,3526408,688044,3982332,0,22,0,4,199,591625,159,484522,278,0,0,0,0,0,0,0
1786373189146,3982624,2304576,3529228,1349012,3982332,0,22,0,4,199,628152,159,516644,278,0,0,0,0,0,0,0
1786373189397,3982624,1728364,3527976,1923324,3982332,0,22,0,4,326,640069,275,521176,278,0,0,0,0,0,0,0
1786373189647,3982624,1080492,3525700,2568232,3982332,0,22,0,4,326,645747,275,522481,278,0,0,0,0,0,0,0
1786373189898,3982624,408096,3521428,3235540,3982332,0,22,0,4,326,653779,275,524764,278,0,0,0,0,0,0,0
1786373190151,3982624,166840,3518416,3473612,3982332,0,22,0,4,326,704315,275,567045,278,0,0,0,0,0,0,0
1786373190402,3982624,168836,3520488,3473604,3982332,0,22,0,4,326,709144,275,571853,278,0,0,0,0,0,0,0
1786373190653,3982624,168900,3520636,3473608,3982332,0,22,0,4,326,709144,275,571853,278,0,0,0,0,0,0,0
1786373190913,3982624,168900,3520636,3473612,3982332,0,22,0,4,326,709144,275,571853,278,0,0,0,0,0,0,0
1786373191165,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373191425,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373191680,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373191933,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373192193,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373192445,3982624,168900,3520636,3473612,3982332,0,22,0,4,321,709144,261,571853,278,0,0,0,0,0,0,0
1786373192696,3982624,181068,3517292,3457912,3982332,0,251,0,233,321,745127,261,607592,283,0,0,15580,15359,0,0,0
1786373192947,3982624,186744,3497132,3432020,3982332,0,251,0,233,321,782479,261,643553,287,0,0,15580,15359,0,0,0
1786373193198,3982624,159036,3464400,3421392,3982332,0,676,0,657,335,801081,286,660402,304,0,0,32599,32307,0,0,0
1786373193448,3982624,213896,3477700,3379732,3982332,0,676,0,657,335,816486,286,675501,311,0,0,32599,32307,0,0,0
1786373193699,3982624,211188,3475012,3379740,3982332,0,676,0,657,335,832854,286,691612,311,0,0,32599,32307,0,0,0
1786373193949,3982624,223232,3487112,3379780,3982332,0,676,0,657,335,851607,286,710064,311,0,0,32599,32307,0,0,0
1786373194200,3982624,223008,3486980,3379868,3982332,0,676,0,657,335,868534,286,726777,311,0,0,32599,32307,0,0,0
1786373194450,3774752,81700,3278460,3312380,3982332,0,3799,0,3546,335,886464,286,744675,312,0,0,49570,49249,0,0,1
1786373194703,3173664,62448,2691016,2744460,3981660,0,61572,0,52706,335,886467,286,744678,313,0,166,193409,191641,0,0,6
1786373194954,2581900,123508,2128780,2138948,3981652,0,118306,0,101884,335,886467,286,744678,313,0,168,346139,343387,0,0,11
1786373195205,2052384,95436,1610792,1632448,3981652,108,136713,90,120290,347,886529,307,744700,314,0,168,473099,469995,0,0,14
1786373195456,1885472,132964,1437000,1421128,3981652,108,145964,90,129540,347,886529,307,744700,314,0,168,526023,522829,0,0,16
1786373195708,1885472,132964,1437000,1421128,3981652,108,145968,90,129544,347,886529,307,744700,314,0,168,526023,522829,0,0,16
1786373195960,1885472,132964,1437000,1421144,3981652,108,145968,90,129544,347,888094,307,746234,315,0,168,526023,522829,0,0,16
1786373196217,1885472,132964,1437000,1421144,3981652,108,145968,90,129544,347,888094,307,746234,315,0,168,526023,522829,0,0,16
1786373196469,1885472,132964,1437000,1421256,3981652,108,145968,90,129544,347,889282,307,747307,317,0,168,526023,522829,0,0,16
1786373196730,1885472,132964,1437000,1421256,3981652,108,145968,90,129544,347,889282,307,747307,317,0,168,526023,522829,0,0,16
1786373196989,1885472,132964,1437000,1421256,3981652,108,145968,90,129544,347,889282,307,747307,317,0,168,526023,522829,0,0,16
1786373197250,1885472,132964,1437000,1421256,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373197507,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373197759,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373198012,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373198271,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373198529,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373198787,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373199040,1885472,132964,1437000,1421260,3981652,88,145968,74,129544,284,889282,250,747307,317,0,168,526023,522829,0,0,16
1786373199299,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373199553,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373199812,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373200064,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373200326,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373200587,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373200843,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373201103,1885472,132964,1437000,1421260,3981652,72,145968,60,129544,231,889282,206,747307,317,0,168,526023,522829,0,0,16
1786373201354,1885472,132964,1437000,1421260,3981652,59,145968,49,129544,190,889282,168,747307,317,0,168,526023,522829,0,0,16
1786373201608,1885472,132964,1437000,1421260,3981652,59,145968,49,129544,190,889994,168,747807,318,0,168,526023,522829,0,0,16
1786373201866,1885472,132964,1437000,1421260,3981652,59,145968,49,129544,190,889994,168,747807,318,0,168,526023,522829,0,0,16
1786373202125,1885472,132964,1437000,1421260,3981652,59,145968,49,129544,190,889994,168,747807,318,0,168,526023,522829,0,0,16
