[virglrs] vrend video: 42 frames  7.34 ms/frame  max 75.37 ms/command  15.4% of wall  (n=84 command over 2.0s)
[virglrs] vrend video: 60 frames  5.25 ms/frame  max 6.78 ms/command  15.7% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.23 ms/frame  max 10.52 ms/command  18.9% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.60 ms/frame  max 10.93 ms/command  19.8% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.68 ms/frame  max 10.06 ms/command  20.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.10 ms/frame  max 13.38 ms/command  21.7% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  6.58 ms/frame  max 10.51 ms/command  20.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 59 frames  7.10 ms/frame  max 10.93 ms/command  20.9% of wall  (n=118 command over 2.0s)
[virglrs] vrend video: 62 frames  7.39 ms/frame  max 12.65 ms/command  22.9% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  7.39 ms/frame  max 11.27 ms/command  22.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 60 frames  7.06 ms/frame  max 13.70 ms/command  21.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  7.45 ms/frame  max 14.23 ms/command  22.6% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  6.20 ms/frame  max 10.24 ms/command  18.8% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  6.93 ms/frame  max 11.85 ms/command  21.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  7.17 ms/frame  max 11.00 ms/command  21.5% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.52 ms/frame  max 10.78 ms/command  19.8% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  7.10 ms/frame  max 10.30 ms/command  21.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.89 ms/frame  max 10.79 ms/command  21.0% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  6.97 ms/frame  max 10.13 ms/command  20.8% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  7.37 ms/frame  max 15.16 ms/command  22.8% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  6.99 ms/frame  max 9.78 ms/command  21.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  7.13 ms/frame  max 14.78 ms/command  21.5% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.07 ms/frame  max 11.35 ms/command  21.5% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.21 ms/frame  max 14.82 ms/command  22.0% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  7.07 ms/frame  max 12.95 ms/command  21.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  6.99 ms/frame  max 11.11 ms/command  21.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  7.63 ms/frame  max 39.57 ms/command  23.2% of wall  (n=122 command over 2.0s)
