ts,gfx_mb,gfx_regions,iosurface_mb,guest_blobs,guest_blob_mb,guest_fb,guest_clients,footprint_mb,compressed_mb,balloon_mb,guest_free_mb
21:15:03,535,3685,298,50,281,6,6,12716,9499,16757,503
21:15:20,535,3685,298,50,281,6,6,12708,9497,16757,503
21:15:36,884,5824,328,67,345,6,9,12827,7661,17013,680
21:15:52,884,5824,328,67,345,6,9,12807,7631,17013,585
21:16:08,872,5704,328,67,345,6,9,12822,7607,17013,576
21:16:25,872,5704,328,67,345,6,9,12798,7535,17013,559
21:16:41,872,5704,328,67,345,6,9,12064,6907,17525,564
21:16:57,872,5704,328,67,345,6,9,12064,6886,17525,638
21:17:13,855,5536,328,67,345,6,9,12048,6884,17525,612
21:17:29,855,5536,328,67,345,6,9,12045,6877,17525,597
21:17:45,855,5536,328,67,345,6,9,12047,6876,17525,587
21:18:01,847,5464,328,67,345,6,9,12280,6863,17525,668
21:18:17,847,5464,328,67,345,6,9,12042,6862,17525,636
21:18:33,847,5464,328,67,345,6,9,12043,6859,17525,620
21:18:49,847,5464,328,67,345,6,9,12043,6854,17525,594
21:19:05,835,5344,328,67,345,6,9,12050,6853,17525,667
21:19:20,821,5081,328,68,347,6,9,12287,7359,17525,599
21:19:36,822,5081,328,68,347,6,9,12327,7327,17508,529
21:19:52,822,5081,328,68,347,6,9,12435,7304,17440,531
21:20:08,820,5057,328,68,347,6,9,12498,7282,17418,531
21:20:24,820,5057,328,68,347,6,9,0,0,17885,0
21:20:40,822,5057,328,68,347,6,9,11288,6679,17529,973
21:20:56,822,5057,328,68,347,6,9,11423,6629,17383,966
21:21:12,854,5369,328,68,347,6,9,11489,6624,17383,959
21:21:29,1031,7055,328,69,349,6,9,11756,6710,17358,958
21:21:45,7624,64414,407,114,574,6,9,19688,7377,16476,913
21:22:01,3138,17916,509,154,736,6,9,16985,7223,16640,779
21:22:17,4193,39832,525,300,1299,6,9,17159,7136,16430,880
21:22:33,4866,30913,525,415,1450,6,9,18772,6651,15321,1628
21:22:49,1978,8831,356,350,1173,6,9,14691,6478,16048,1493
21:23:05,1964,7912,356,349,1165,6,9,14429,6411,16182,1429
21:23:20,1964,7912,356,349,1165,6,9,14036,6401,16517,1456
21:23:36,1964,7912,356,349,1165,6,9,14075,6342,16517,1444
21:23:52,1964,7912,356,349,1165,6,9,14077,6341,16517,1449
21:24:08,1951,7762,356,349,1165,6,9,14084,6336,16517,1451
21:24:24,1951,7762,356,349,1165,6,9,14067,6336,16517,1449
21:24:40,1951,7762,356,349,1165,6,9,14084,6324,16517,1456
