REAL=1788175821.951920 MONO=1382.835182 RAW=1382.629518 BOOT=1513.496584
REAL=1788175821.972077 MONO=1382.855335 RAW=1382.649674 BOOT=1513.516737
REAL=1788175821.992215 MONO=1382.875472 RAW=1382.669815 BOOT=1513.536875
REAL=1788175822.012362 MONO=1382.895623 RAW=1382.689970 BOOT=1513.557027
REAL=1788175822.032521 MONO=1382.915778 RAW=1382.710121 BOOT=1513.577181
REAL=1788175822.052844 MONO=1382.936113 RAW=1382.730454 BOOT=1513.597517
REAL=1788175822.073182 MONO=1382.956459 RAW=1382.750797 BOOT=1513.617864
REAL=1788175822.093433 MONO=1382.976700 RAW=1382.771036 BOOT=1513.638104
REAL=1788175822.113621 MONO=1382.996878 RAW=1382.791210 BOOT=1513.658281
REAL=1788175822.133759 MONO=1383.017016 RAW=1382.811344 BOOT=1513.678418
REAL=1788175822.153891 MONO=1383.037147 RAW=1382.831472 BOOT=1513.698549
REAL=1788175822.174010 MONO=1383.057266 RAW=1382.851589 BOOT=1513.718669
REAL=1788175822.194153 MONO=1383.077410 RAW=1382.871730 BOOT=1513.738812
REAL=1788175822.214278 MONO=1383.097534 RAW=1382.891850 BOOT=1513.758936
REAL=1788175822.234405 MONO=1383.117664 RAW=1382.911978 BOOT=1513.779066
REAL=1788175822.254542 MONO=1383.137801 RAW=1382.932112 BOOT=1513.799203
REAL=1788175822.274713 MONO=1383.157971 RAW=1382.952279 BOOT=1513.819373
REAL=1788175822.294847 MONO=1383.178106 RAW=1382.972412 BOOT=1513.839509
REAL=1788175822.314999 MONO=1383.198257 RAW=1382.992559 BOOT=1513.859659
REAL=1788175822.335114 MONO=1383.218368 RAW=1383.012667 BOOT=1513.879769
REAL=1788175822.355237 MONO=1383.238494 RAW=1383.032791 BOOT=1513.899896
REAL=1788175822.375379 MONO=1383.258636 RAW=1383.052930 BOOT=1513.920038
REAL=1788175822.395515 MONO=1383.278770 RAW=1383.073062 BOOT=1513.940173
REAL=1788175822.415632 MONO=1383.298887 RAW=1383.093176 BOOT=1513.960289
REAL=1788175822.435737 MONO=1383.318992 RAW=1383.113277 BOOT=1513.980393
REAL=1788175822.455838 MONO=1383.339093 RAW=1383.133376 BOOT=1514.000495
REAL=1788175822.475957 MONO=1383.359214 RAW=1383.153493 BOOT=1514.020616
REAL=1788175822.496082 MONO=1383.379339 RAW=1383.173617 BOOT=1514.040742
REAL=1788175822.516257 MONO=1383.399526 RAW=1383.193800 BOOT=1514.060929
REAL=1788175822.536442 MONO=1383.419700 RAW=1383.213971 BOOT=1514.081102
REAL=1788175822.556595 MONO=1383.439858 RAW=1383.234126 BOOT=1514.101261
REAL=1788175822.576798 MONO=1383.460060 RAW=1383.254326 BOOT=1514.121463
REAL=1788175822.596969 MONO=1383.480227 RAW=1383.274490 BOOT=1514.141630
REAL=1788175822.617156 MONO=1383.500419 RAW=1383.294680 BOOT=1514.161823
REAL=1788175822.637333 MONO=1383.520591 RAW=1383.314848 BOOT=1514.181993
REAL=1788175822.657481 MONO=1383.540739 RAW=1383.334993 BOOT=1514.202141
REAL=1788175822.677615 MONO=1383.560872 RAW=1383.355123 BOOT=1514.222274
REAL=1788175822.697750 MONO=1383.581005 RAW=1383.375253 BOOT=1514.242407
REAL=1788175822.717865 MONO=1383.601120 RAW=1383.395366 BOOT=1514.262522
REAL=1788175822.737984 MONO=1383.621241 RAW=1383.415484 BOOT=1514.282643
REAL=1788175822.758101 MONO=1383.641356 RAW=1383.435596 BOOT=1514.302758
REAL=1788175822.778223 MONO=1383.661477 RAW=1383.455714 BOOT=1514.322879
REAL=1788175822.798356 MONO=1383.681614 RAW=1383.475848 BOOT=1514.343016
REAL=1788175822.818505 MONO=1383.701764 RAW=1383.495995 BOOT=1514.363166
REAL=1788175822.838630 MONO=1383.721887 RAW=1383.516115 BOOT=1514.383289
REAL=1788175822.858749 MONO=1383.742006 RAW=1383.536232 BOOT=1514.403408
REAL=1788175822.878876 MONO=1383.762132 RAW=1383.556355 BOOT=1514.423534
REAL=1788175822.898986 MONO=1383.782240 RAW=1383.576460 BOOT=1514.443642
REAL=1788175822.919093 MONO=1383.802347 RAW=1383.596565 BOOT=1514.463749
