i,target_us,queued_us,actual_us,headroom_us,missed
88,360401248,360387900,360401248,13348,0
89,360417916,360404115,360417916,13801,0
90,360451252,360442878,360451253,8374,0
91,360467921,360454099,360467921,13822,0
92,360501257,360494925,360501258,6332,0
93,360534594,360528388,360534595,6206,0
94,360567931,360561859,360567931,6072,0
95,360601267,360594824,360601268,6443,0
96,360634604,360624330,360634605,10274,0
97,360667941,360660830,360667942,7111,0
98,360701278,360694920,360701278,6358,0
99,360717946,360704480,360717947,13466,0
100,360751283,360739838,360751283,11445,0
101,360784619,360774396,360784620,10223,0
102,360817956,360810330,360817957,7626,0
103,360851293,360840815,360851293,10478,0
104,360884629,360877385,360884630,7244,0
105,360901298,360887790,360901298,13508,0
106,360934634,360926357,360934635,8277,0
107,360967971,360961387,360967972,6584,0
108,360984640,360970896,360984640,13744,0
109,361017976,361010245,361017977,7731,0
110,361051313,361040534,364434986,10779,203
111,364468322,364461115,364468323,7207,0
112,364501659,364491387,364501659,10272,0
113,364534995,364522528,364534996,12467,0
114,364568332,364554555,364568333,13777,0
115,364601669,364590555,364601670,11114,0
116,364635006,364625155,364635006,9851,0
117,364668342,364657445,364668343,10897,0
118,364701679,364694476,364701680,7203,0
119,364735016,364728124,364735016,6892,0
120,364768352,364759496,364768353,8856,0
121,364785021,364771046,364785021,13975,0
122,364801689,364788052,364801690,13637,0
123,364835026,364821489,364835026,13537,0
124,364868362,364856027,364868363,12335,0
125,364885031,364871496,364885031,13535,0
126,364918367,364908596,364918368,9771,0
127,364935036,364921331,364935036,13705,0
128,364968372,364954956,364968373,13416,0
129,364985041,364971568,364985041,13473,0
130,365018377,365004922,365001710,13455,-1
131,365035046,365025851,365035046,9195,0
132,365068382,365055026,365051715,13356,-1
133,365085051,365072433,365085051,12618,0
134,365118387,365106025,365118388,12362,0
135,365151724,365144132,365151725,7592,0
136,365168393,365154634,365168393,13759,0
137,365201729,365188503,365201730,13226,0
138,365218398,365204595,365218398,13803,0
139,365251734,365243715,365251735,8019,0
140,365285071,365275338,365285071,9733,0
141,365318407,365311498,365318408,6909,0
142,365335076,365321447,365335076,13629,0
143,365368412,365360114,365368413,8298,0
144,365401749,365394117,365401750,7632,0
145,365435086,365426588,365435086,8498,0
146,365468422,365456994,365468423,11428,0
147,365501759,365491504,365501760,10255,0
148,365535096,365524385,365535097,10711,0
149,365551765,365538039,365551765,13726,0
150,365585101,365575025,365585102,10076,0
151,365618438,365606716,365618438,11722,0
152,365635106,365621550,365635107,13556,0
153,365668443,365656177,369185463,12266,211
154,369202131,369188571,369202131,13560,0
155,369218799,369205516,369218799,13283,0
156,369252135,369239739,369235468,12396,-1
157,369268804,369258507,369268804,10297,0
158,369302140,369289712,369285473,12428,-1
159,369318809,369307591,369302141,11218,-1
160,369335477,369324274,369335478,11203,0
161,369368814,369360169,369368814,8645,0
162,369402150,369394706,369402151,7444,0
163,369435487,369425464,369435488,10023,0
164,369468824,369458147,369468825,10677,0
165,369485493,369472176,369485493,13317,0
166,369518829,369506527,369518830,12302,0
167,369535498,369522232,369535498,13266,0
168,369568834,369555295,369552166,13539,-1
169,369585502,369578737,369585503,6765,0
170,369602171,369588217,369602171,13954,0
171,369635507,369621895,369618840,13612,-1
172,369652176,369645275,369652176,6901,0
173,369685512,369674217,369685513,11295,0
174,369718849,369706390,369718850,12459,0
175,369735518,369721706,369735518,13812,0
176,369768854,369758905,369768855,9949,0
177,369785523,369771846,369785523,13677,0
178,369802191,369788657,369802191,13534,0
179,369835527,369825678,369835528,9849,0
180,369868864,369858987,369868865,9877,0
181,369902201,369891224,369902201,10977,0
182,369935537,369923815,369935538,11722,0
183,369968874,369961305,369968875,7569,0
184,369985543,369972253,369985543,13290,0
185,370002211,369988390,370002211,13821,0
186,370018879,370005378,370018880,13501,0
187,370035548,370022368,370035548,13180,0
188,370068884,370057154,370068885,11730,0
189,370102221,370094938,370102221,7283,0
190,370135557,370124408,370135558,11149,0
191,370168894,370156967,370168895,11927,0
192,370185563,370171771,370185563,13792,0
193,370218899,370206717,370218900,12182,0
194,370235568,370222195,370235568,13373,0
195,370268904,370257053,370268905,11851,0
196,370302241,370291390,373952608,10851,219
197,373985944,373975254,373985944,10690,0
198,374002612,373989350,374002613,13262,0
199,374035949,374024950,374035949,10999,0
200,374069285,374058376,374069286,10909,0
201,374102622,374093438,374102623,9184,0
202,374135959,374125815,374135959,10144,0
203,374152627,374138938,374152628,13689,0
204,374185964,374177389,374185964,8575,0
205,374202632,374189511,374202633,13121,0
206,374219301,374205536,374219301,13765,0
207,374252637,374240782,374252638,11855,0
208,374285974,374277699,374285974,8275,0
209,374302642,374288950,374302643,13692,0
210,374319311,374305484,374319311,13827,0
211,374335979,374322223,374335979,13756,0
212,374352647,374338910,374352648,13737,0
213,374385984,374374091,374385985,11893,0
214,374419321,374408113,374419321,11208,0
215,374452657,374440949,374452658,11708,0
216,374485994,374473522,374469326,12472,-1
217,374502662,374495420,374502663,7242,0
218,374535999,374524380,374536000,11619,0
219,374569336,374556705,374552668,12631,-1
220,374586004,374572973,374586005,13031,0
221,374619341,374610982,374619341,8359,0
222,374652677,374639026,374652678,13651,0
223,374686014,374677079,374686015,8935,0
224,374719351,374712608,374719351,6743,0
225,374752687,374738999,374752688,13688,0
226,374769356,374755484,374769356,13872,0
227,374802692,374794550,374802693,8142,0
228,374836029,374825595,374836030,10434,0
229,374852698,374839534,374852698,13164,0
230,374869366,374856651,374869366,12715,0
231,374902702,374895057,374902703,7645,0
232,374936039,374928123,374936040,7916,0
233,374969376,374956292,374969376,13084,0
234,375002712,374990109,375002713,12603,0
235,375036049,375023911,375036050,12138,0
236,375069386,375057425,375069386,11961,0
237,375102722,375092446,375102723,10276,0
238,375136059,375122178,378653079,13881,211
239,378686415,378679525,378686416,6890,0
240,378719752,378709585,378719753,10167,0
241,378753089,378742689,378753089,10400,0
242,378786425,378776027,378786426,10398,0
243,378819762,378812687,378819763,7075,0
244,378853099,378841061,378853099,12038,0
245,378869767,378856236,378869768,13531,0
246,378886436,378872668,378886436,13768,0
247,378919772,378911724,378919773,8048,0
248,378953109,378945640,378953109,7469,0
249,378986445,378973604,378969778,12841,-1
250,379003114,378992090,379003114,11024,0
251,379036450,379025384,379036451,11066,0
252,379069787,379062033,379069788,7754,0
253,379103124,379092228,379103124,10896,0
254,379136460,379125066,379136461,11394,0
255,379169797,379159700,379169798,10097,0
256,379186466,379173157,379186466,13309,0
257,379219802,379208650,379219803,11152,0
258,379253139,379240054,379253140,13085,0
259,379269808,379256027,379269808,13781,0
260,379303144,379289877,379303145,13267,0
261,379319813,379306099,379319813,13714,0
262,379353149,379339921,379353150,13228,0
263,379386486,379372885,379386486,13601,0
264,379403154,379390222,379403155,12932,0
265,379436491,379424588,379436491,11903,0
266,379469827,379458131,379469828,11696,0
267,379503164,379491534,379503165,11630,0
268,379536501,379525085,379536501,11416,0
269,379569837,379558097,379569838,11740,0
270,379586506,379572663,379586506,13843,0
271,379603174,379589491,379603175,13683,0
272,379619843,379606660,379619843,13183,0
273,379653179,379641167,379653180,12012,0
274,379686516,379673771,379686516,12745,0
275,379719852,379708319,379719853,11533,0
276,379753189,379742836,379753190,10353,0
277,379786526,379775591,379786526,10935,0
278,379819862,379808800,379819863,11062,0
279,379853199,379842845,379853200,10354,0
280,379886536,379875191,379886536,11345,0
281,379919872,379908780,383436893,11092,211
282,383470229,383457847,383470229,12382,0
283,383503565,383491756,383503566,11809,0
284,383536902,383524728,383536903,12174,0
285,383570239,383558221,383570239,12018,0
286,383603575,383592331,383603576,11244,0
287,383636912,383625843,383636913,11069,0
288,383670249,383658784,383670249,11465,0
289,383703585,383693917,383703586,9668,0
290,383736922,383723198,383736923,13724,0
291,383770259,383757325,383770259,12934,0
292,383786927,383773102,383786928,13825,0
293,383820264,383807289,383820264,12975,0
294,383853600,383843223,383853601,10377,0
295,383886937,383876840,383886938,10097,0
296,383920274,383910482,383920274,9792,0
297,383953610,383941897,383953611,11713,0
298,383986947,383973056,383986948,13891,0
299,384003616,383990360,384003616,13256,0
