i,target_us,queued_us,actual_us,headroom_us,missed
0,350874523,350861836,350866958,12687,0
1,350900294,350893468,350900295,6826,0
2,350916963,350903445,350916963,13518,0
3,350950299,350941963,350950300,8336,0
4,350983636,350975388,350983637,8248,0
5,351016973,351003062,351000305,13911,-1
6,351033641,351025607,351033642,8034,0
7,351066978,351056055,351066978,10923,0
8,351083646,351069915,351083647,13731,0
9,351116983,351107056,351116983,9927,0
10,351150319,351141487,351150320,8832,0
11,351183656,351175372,351183657,8284,0
12,351216993,351209503,351216993,7490,0
13,351233661,351220446,351233662,13215,0
14,351250330,351236557,351250330,13773,0
15,351283666,351270859,351283667,12807,0
16,351317003,351304804,351317003,12199,0
17,351333671,351320035,351333672,13636,0
18,351350340,351336542,351350340,13798,0
19,351383676,351373538,351383677,10138,0
20,351400345,351386974,351400345,13371,0
21,351433681,351422903,351433682,10778,0
22,351450350,351437032,351450350,13318,0
23,351467018,351453477,351467018,13541,0
24,351483686,351469902,351483687,13784,0
25,351517023,351503118,351517023,13905,0
26,351550359,351536947,355150721,13412,216
27,355184057,355172453,355184058,11604,0
28,355217394,355205738,355217395,11656,0
29,355234063,355220253,355234063,13810,0
30,355250731,355237458,355250731,13273,0
31,355284067,355271902,355284068,12165,0
32,355317404,355303921,355317405,13483,0
33,355350741,355337235,355350741,13506,0
34,355384077,355370754,355384078,13323,0
35,355417414,355405934,355417415,11480,0
36,355450751,355438059,355450751,12692,0
37,355484087,355472574,355484088,11513,0
38,355517424,355506130,355517425,11294,0
39,355550761,355539485,355550761,11276,0
40,355584097,355572649,355584098,11448,0
41,355617434,355605017,355617435,12417,0
42,355650771,355638897,355650771,11874,0
43,355667439,355654006,355667440,13433,0
44,355700776,355689068,355700776,11708,0
45,355734112,355722510,355734113,11602,0
46,355767449,355753538,355767450,13911,0
47,355800786,355787590,355800787,13196,0
48,355834123,355822888,355834123,11235,0
49,355867459,355855735,355867460,11724,0
50,355900796,355893268,355900797,7528,0
51,355934133,355923492,355934133,10641,0
52,355967469,355960122,355967470,7347,0
53,355984138,355970717,355984138,13421,0
54,356017474,356004405,356017475,13069,0
55,356050811,356043231,356050812,7580,0
56,356084148,356077520,356084148,6628,0
57,356117484,356105299,356117485,12185,0
58,356150821,356143151,356150822,7670,0
59,356184158,356173562,356184158,10596,0
60,356217494,356210763,356217495,6731,0
61,356234163,356220752,356234163,13411,0
62,356267499,356260332,356267500,7167,0
63,356300836,356289910,356300837,10926,0
64,356334173,356324845,356334173,9328,0
65,356367509,356356685,356367510,10824,0
66,356400846,356390792,356400847,10054,0
67,356434183,356427332,356434183,6851,0
68,356467519,356456722,359784520,10797,199
69,359817856,359807636,359817856,10220,0
70,359851192,359844364,359851193,6828,0
71,359884529,359874161,359884530,10368,0
72,359917866,359908032,359917866,9834,0
73,359951202,359944195,359951203,7007,0
74,359984539,359972850,359984540,11689,0
75,360017876,360005101,360017876,12775,0
76,360051212,360042937,360051213,8275,0
77,360067881,360054345,360067881,13536,0
78,360101217,360088163,360101218,13054,0
79,360134554,360126775,360134555,7779,0
80,360167891,360157254,360167891,10637,0
81,360201227,360188714,360201228,12513,0
82,360234564,360226795,360234565,7769,0
83,360251233,360237324,360251233,13909,0
84,360284569,360276552,360284570,8017,0
85,360317906,360309952,360317906,7954,0
86,360351242,360343280,360351243,7962,0
87,360384579,360378439,360384580,6140,0
