i,target_us,queued_us,actual_us,headroom_us,missed
0,242222934,242218198,242222725,4736,0
1,242239393,242236317,242239393,3076,0
2,242256061,242253160,242256061,2901,0
3,242272729,242269732,242272730,2997,0
4,242289398,242286316,242289398,3082,0
5,242306066,242303678,242306066,2388,0
6,242322734,242319171,242322735,3563,0
7,242339403,242336111,242339403,3292,0
8,242356071,242352505,242356071,3566,0
9,242372739,242369725,242372740,3014,0
10,242389408,242386298,242389408,3110,0
11,242406076,242402100,242406076,3976,0
12,242422744,242419752,242422745,2992,0
13,242439413,242436333,242439413,3080,0
14,242456081,242452601,242456081,3480,0
15,242472749,242469267,242472750,3482,0
16,242489418,242486302,242489418,3116,0
17,242506086,242503173,242506086,2913,0
18,242522754,242519748,242522755,3006,0
19,242539423,242536396,242539423,3027,0
20,242556091,242552678,242556091,3413,0
21,242572759,242569726,242572760,3033,0
22,242589428,242586325,242589428,3103,0
23,242606096,242601435,242606096,4661,0
24,242622764,242620268,242622765,2496,0
25,242639433,242636409,242639433,3024,0
26,242656101,242652827,242656101,3274,0
27,242672769,242669804,242672770,2965,0
28,242689438,242686620,242689438,2818,0
29,242706106,242702859,242706106,3247,0
30,242722774,242719539,242722775,3235,0
31,242739443,242735544,242739443,3899,0
32,242756111,242752910,242756111,3201,0
33,242772779,242769799,242772780,2980,0
34,242789448,242786204,242789448,3244,0
35,242806116,242802935,242806116,3181,0
36,242822784,242819791,242822785,2993,0
37,242839453,242836390,242839453,3063,0
38,242856121,242852639,242856121,3482,0
39,242872789,242869763,246673171,3026,228
40,246689839,246686877,246689839,2962,0
41,246706507,246703950,246706508,2557,0
42,246723176,246720049,246723176,3127,0
43,246739844,246736936,246739844,2908,0
44,246756512,246752754,246756513,3758,0
45,246773181,246770771,246773181,2410,0
46,246789849,246786625,246789849,3224,0
47,246806517,246803473,246806518,3044,0
48,246823186,246820514,246823186,2672,0
49,246839854,246836562,246839854,3292,0
50,246856522,246853420,246856523,3102,0
51,246873191,246870321,246873191,2870,0
52,246889859,246886886,246889860,2973,0
53,246906528,246901711,246906528,4817,0
54,246923196,246920343,246923196,2853,0
55,246939864,246936887,246939865,2977,0
56,246956533,246953467,246956533,3066,0
57,246973201,246970332,246973201,2869,0
58,246989869,246986902,246989870,2967,0
59,247006538,247003473,247006538,3065,0
60,247023206,247018691,247023206,4515,0
61,247039874,247036921,247039875,2953,0
62,247056543,247053505,247056543,3038,0
63,247073211,247070340,247073211,2871,0
64,247089879,247086428,247089880,3451,0
65,247106548,247104024,247106548,2524,0
66,247123216,247120373,247123216,2843,0
67,247139884,247136069,247139885,3815,0
68,247156553,247153508,247156553,3045,0
69,247173221,247170338,247173221,2883,0
70,247189889,247185073,247189890,4816,0
71,247206558,247203474,247206558,3084,0
72,247223226,247220352,247223226,2874,0
73,247239894,247237685,247239895,2209,0
74,247256563,247253242,247256563,3321,0
75,247273231,247271125,247273231,2106,0
