i,target_us,queued_us,actual_us,headroom_us,missed
167,336682201,336672366,336682202,9835,0
168,336698870,336689822,336698870,9048,0
169,336715538,336708343,336715538,7195,0
170,336732206,336723849,336732207,8357,0
171,336748875,336740256,336748875,8619,0
172,336765543,336756655,336765543,8888,0
173,336782211,336773864,336782212,8347,0
174,336798880,336789738,336798880,9142,0
175,336815548,336808197,336815548,7351,0
176,336832216,336823751,336832217,8465,0
177,336848885,336839752,336848885,9133,0
178,336865553,336856237,336865553,9316,0
179,336882221,336874908,336882222,7313,0
180,336898890,336890398,336898890,8492,0
181,336915558,336905968,336915558,9590,0
182,336932226,336922784,336932227,9442,0
183,336948895,336940506,336948895,8389,0
184,336965563,336956679,336965563,8884,0
185,336982231,336973364,336982232,8867,0
186,336998900,336990555,336998900,8345,0
187,337015568,337006725,337015568,8843,0
188,337032236,337024376,337032237,7860,0
189,337048905,337040413,337048905,8492,0
190,337065573,337057291,337065573,8282,0
191,337082241,337074914,337082242,7327,0
192,337098910,337090637,337098910,8273,0
193,337115578,337107879,337115579,7699,0
194,337132247,337124279,337132247,7968,0
195,337148915,337140419,337148915,8496,0
196,337165583,337156869,337165584,8714,0
197,337182252,337173475,337182252,8777,0
198,337198920,337189789,337198920,9131,0
199,337215588,337206319,337215589,9269,0
200,337232257,337223943,337232257,8314,0
201,337248925,337239831,337248925,9094,0
202,337265593,337256947,337265594,8646,0
203,337282262,337273467,341282663,8795,240
204,341299331,341289426,341299332,9905,0
205,341316000,341307072,341316000,8928,0
206,341332668,341324039,341332668,8629,0
207,341349336,341340473,341349337,8863,0
208,341366005,341356997,341366005,9008,0
209,341382673,341374365,341382673,8308,0
210,341399341,341390450,341399342,8891,0
211,341416010,341406964,341416010,9046,0
212,341432678,341425615,341432678,7063,0
213,341449346,341440525,341449347,8821,0
214,341466015,341456989,341466015,9026,0
215,341482683,341472928,341482683,9755,0
216,341499351,341491880,341499352,7471,0
217,341516020,341506874,341516020,9146,0
218,341532688,341524430,341532688,8258,0
219,341549356,341540518,341549357,8838,0
220,341566025,341556994,341566025,9031,0
221,341582693,341574090,341582693,8603,0
222,341599361,341590470,341599362,8891,0
223,341616030,341606996,341616030,9034,0
224,341632698,341624383,341632698,8315,0
225,341649366,341640509,341649367,8857,0
226,341666035,341659136,341666035,6899,0
227,341682703,341673192,341682703,9511,0
228,341699371,341690625,341699372,8746,0
229,341716040,341707036,341716040,9004,0
230,341732708,341724143,341732708,8565,0
231,341749376,341740967,341749377,8409,0
232,341766045,341757526,341766045,8519,0
233,341782713,341773403,341782713,9310,0
234,341799381,341791409,341799382,7972,0
235,341816050,341807650,341816050,8400,0
236,341832718,341823413,341832718,9305,0
237,341849386,341840463,341849387,8923,0
238,341866055,341856396,341866055,9659,0
239,341882723,341873550,341882723,9173,0
240,341899391,341889982,341899392,9409,0
241,341916060,341909159,341916060,6901,0
242,341932728,341924139,341932728,8589,0
243,341949396,341940538,341949397,8858,0
244,341966065,341958044,341966065,8021,0
245,341982733,341974062,341982733,8671,0
246,341999401,341990554,345983135,8847,239
247,345999803,345992648,345999803,7155,0
248,346016471,346007654,346016472,8817,0
249,346033140,346025201,346033140,7939,0
250,346049808,346041193,346049808,8615,0
251,346066476,346057683,346066477,8793,0
252,346083145,346074209,346083145,8936,0
253,346099813,346090565,346099813,9248,0
254,346116481,346107098,346116482,9383,0
255,346133150,346124259,346133150,8891,0
256,346149818,346140598,346149818,9220,0
257,346166486,346158273,346166487,8213,0
258,346183155,346174124,346183155,9031,0
259,346199823,346190570,346199823,9253,0
260,346216491,346207120,346216492,9371,0
261,346233160,346223929,346233160,9231,0
262,346249828,346240691,346249828,9137,0
263,346266496,346257124,346266497,9372,0
264,346283165,346274260,346283165,8905,0
265,346299833,346290622,346299833,9211,0
266,346316501,346307129,346316502,9372,0
267,346333170,346325793,346333170,7377,0
268,346349838,346340784,346349838,9054,0
269,346366506,346357160,346366507,9346,0
270,346383175,346374248,346383175,8927,0
271,346399843,346391338,346399843,8505,0
272,346416511,346407657,346416512,8854,0
273,346433180,346424290,346433180,8890,0
274,346449848,346442873,346449848,6975,0
275,346466516,346457716,346466517,8800,0
276,346483185,346474357,346483185,8828,0
277,346499853,346490665,346499853,9188,0
278,346516521,346507214,346516522,9307,0
279,346533190,346524314,346533190,8876,0
280,346549858,346541841,346549858,8017,0
281,346566526,346557866,346566527,8660,0
282,346583195,346575156,346583195,8039,0
283,346599863,346591289,346599863,8574,0
284,346616531,346607797,346616532,8734,0
285,346633200,346623542,346633200,9658,0
286,346649868,346640155,346649868,9713,0
287,346666536,346657227,346666537,9309,0
288,346683205,346674347,350583596,8858,234
289,350600264,350590394,350600265,9870,0
290,350616933,350607967,350616933,8966,0
291,350633601,350624348,350633601,9253,0
292,350650269,350642340,350650270,7929,0
293,350666938,350658433,350666938,8505,0
294,350683606,350674968,350683606,8638,0
295,350700274,350690753,350700275,9521,0
296,350716943,350709529,350716943,7414,0
297,350733611,350724833,350733611,8778,0
298,350750279,350741493,350750280,8786,0
299,350766948,350757860,350766948,9088,0
