i,target_us,queued_us,actual_us,headroom_us,missed
0,285845055,285843155,285843768,1900,0
1,285860436,285859385,285860436,1051,0
2,285877104,285882210,285893773,-5106,1
3,285910441,285914786,285927109,-4345,1
4,285943777,285946068,285943778,-2291,0
5,285960446,285963688,285960446,-3242,0
6,285977114,285979986,285977114,-2872,0
7,285993782,285995680,286010451,-1898,1
8,286027119,286028157,286027119,-1038,0
9,286043787,286042027,286043788,1760,0
10,286060456,286065041,286077124,-4585,1
11,286093792,286092174,286093793,1618,0
12,286110461,286112679,286127130,-2218,1
13,286143798,286145204,286143798,-1406,0
14,286160466,286163235,286160466,-2769,0
15,286177134,286178970,286177135,-1836,0
16,286193803,286197644,286193803,-3841,0
17,286210471,286212044,286227140,-1573,1
18,286243808,286243018,286243808,790,0
19,286260476,286265220,286277145,-4744,1
20,286293813,286296991,286293813,-3178,0
21,286310481,286313229,286327150,-2748,1
22,286343818,286342208,286343818,1610,0
23,286360486,286365110,286360486,-4624,0
24,286377154,286378272,286393823,-1118,1
25,286410491,286413170,286410491,-2679,0
26,286427159,286429268,286427160,-2109,0
27,286443828,286447220,286460496,-3392,1
28,286477164,286476955,286477165,209,0
29,286493833,286493767,286493833,66,0
30,286510501,286514379,286510501,-3878,0
31,286527169,286528718,286527170,-1549,0
32,286543838,286547351,286560506,-3513,1
33,286577174,286578858,286577175,-1684,0
34,286593843,286595500,286610511,-1657,1
35,286627179,286629535,286627180,-2356,0
36,286643848,286647201,286643848,-3353,0
37,286660516,286662319,286677185,-1803,1
38,286693853,286693571,286693853,282,0
39,286710521,286713842,290244209,-3321,212
40,290260877,290263379,290277546,-2502,1
41,290294214,290295838,290294214,-1624,0
42,290310882,290311684,290327551,-802,1
43,290344219,290345795,290360888,-1576,1
44,290377556,290378796,290394224,-1240,1
45,290410892,290414320,290427561,-3428,1
46,290444229,290443264,290444229,965,0
47,290460897,290459875,290460898,1022,0
48,290477566,290478333,290494234,-767,1
49,290510902,290513330,290527571,-2428,1
50,290544239,290546361,290560908,-2122,1
51,290577576,290579453,290594244,-1877,1
52,290610912,290609410,290610913,1502,0
53,290627581,290629488,290644249,-1907,1
54,290660917,290662929,290677586,-2012,1
55,290694254,290696028,290710923,-1774,1
56,290727591,290728733,290744259,-1142,1
57,290760927,290762471,290777596,-1544,1
58,290794264,290795993,290794264,-1729,0
59,290810932,290813816,290810933,-2884,0
60,290827601,290829381,290827601,-1780,0
61,290844269,290846961,290844269,-2692,0
62,290860937,290862783,290877606,-1846,1
63,290894274,290893556,290894274,718,0
64,290910942,290913285,290910943,-2343,0
65,290927611,290926929,290927611,682,0
66,290944279,290943184,290944279,1095,0
67,290960947,290964023,290960948,-3076,0
68,290977616,290976938,290977616,678,0
69,290994284,290993654,290994284,630,0
70,291010952,291012865,291010953,-1913,0
71,291027621,291029910,291027621,-2289,0
72,291044289,291043664,291044290,625,0
73,291060958,291059634,291060958,1324,0
74,291077626,291077043,291077626,583,0
75,291094294,291098934,291094295,-4640,0
76,291110963,291110417,291110963,546,0
77,291127631,291127112,291127631,519,0
78,291144299,291148942,291160968,-4643,1
79,291177636,291177131,291177636,505,0
80,291194304,291195378,291194305,-1074,0
81,291210973,291214051,291210973,-3078,0
82,291227641,291229372,294944681,-1731,223
83,294961349,294964437,294978018,-3088,1
84,294994686,294999505,295011354,-4819,1
85,295028022,295029954,295028023,-1932,0
86,295044691,295047037,295061359,-2346,1
87,295078027,295082961,295094696,-4934,1
88,295111364,295116115,295128033,-4751,1
89,295144701,295147107,295161369,-2406,1
90,295178037,295177177,295178038,860,0
91,295194706,295197096,295211374,-2390,1
92,295228042,295226695,295228043,1347,0
93,295244711,295246571,295261379,-1860,1
94,295278047,295279693,295278048,-1646,0
95,295294716,295297615,295311384,-2899,1
96,295328052,295330447,295328053,-2395,0
97,295344721,295348017,295344721,-3296,0
98,295361389,295364564,295361389,-3175,0
99,295378057,295381025,295394726,-2968,1
100,295411394,295415202,295411394,-3808,0
101,295428062,295430668,295428063,-2606,0
102,295444731,295443828,295444731,903,0
103,295461399,295464205,295478068,-2806,1
104,295494736,295496015,295511404,-1279,1
105,295528072,295526921,295528073,1151,0
106,295544741,295544920,295544741,-179,0
107,295561409,295565075,295578078,-3666,1
108,295594746,295599019,295594746,-4273,0
109,295611414,295613235,295628083,-1821,1
110,295644751,295643343,295644751,1408,0
111,295661419,295660279,295661419,1140,0
112,295678087,295679358,295678088,-1271,0
113,295694756,295697069,295694756,-2313,0
114,295711424,295710239,295711424,1185,0
115,295728092,295732695,295728093,-4603,0
116,295744761,295745103,295761429,-342,1
117,295778097,295778842,295794766,-745,1
118,295811434,295812441,295811434,-1007,0
119,295828102,295831043,295828103,-2941,0
120,295844771,295847620,295861439,-2849,1
121,295878107,295879628,295878108,-1521,0
122,295894776,295897045,295894776,-2269,0
123,295911444,295913048,295928113,-1604,1
124,295944781,295946206,299561811,-1425,217
125,299578479,299579233,299578479,-754,0
126,299595147,299594061,299595147,1086,0
127,299611815,299616717,299628484,-4902,1
128,299645152,299647109,299661821,-1957,1
129,299678489,299680726,299678489,-2237,0
130,299695157,299698687,299711826,-3530,1
131,299728494,299732221,299728494,-3727,0
132,299745162,299747142,299761831,-1980,1
133,299778499,299779661,299795167,-1162,1
134,299811835,299813589,299828504,-1754,1
135,299845172,299847653,299845173,-2481,0
136,299861841,299864280,299861841,-2439,0
137,299878509,299878445,299878509,64,0
138,299895177,299900293,299911846,-5116,1
139,299928514,299931661,299928514,-3147,0
140,299945182,299946740,299961851,-1558,1
141,299978519,299982404,299995188,-3885,1
142,300011856,300012195,300011856,-339,0
143,300028524,300026696,300028524,1828,0
144,300045192,300043737,300045193,1455,0
145,300061861,300060361,300061861,1500,0
146,300078529,300083178,300095198,-4649,1
147,300111866,300110463,300111866,1403,0
148,300128534,300128861,300145203,-327,1
149,300161871,300162731,300178539,-860,1
150,300195207,300193341,300195208,1866,0
151,300211876,300210031,300211876,1845,0
152,300228544,300226743,300228544,1801,0
153,300245212,300249776,300261881,-4564,1
154,300278549,300280893,300295218,-2344,1
155,300311886,300313290,300328554,-1404,1
156,300345222,300344746,300345223,476,0
157,300361891,300366783,300378559,-4892,1
158,300395227,300393867,300395228,1360,0
159,300411896,300416913,300428564,-5017,1
160,300445232,300444509,300445233,723,0
161,300461901,300466592,300478569,-4691,1
162,300495237,300498339,300511906,-3102,1
163,300528574,300533249,300545243,-4675,1
164,300561911,300563790,300578579,-1879,1
165,300595247,300597777,300611916,-2530,1
166,300628584,300630447,300645253,-1863,1
167,300661921,300660383,304262282,1538,216
168,304278950,304280784,304295619,-1834,1
169,304312287,304313366,304328956,-1079,1
170,304345624,304346788,304362292,-1164,1
171,304378960,304380182,304395629,-1222,1
172,304412297,304413544,304428966,-1247,1
173,304445634,304446969,304462302,-1335,1
174,304478970,304482903,304495639,-3933,1
175,304512307,304513702,304528976,-1395,1
176,304545644,304545904,304562312,-260,1
