i,target_us,queued_us,actual_us,headroom_us,missed
177,304578980,304580025,304595649,-1045,1
178,304612317,304615057,304628986,-2740,1
179,304645654,304643820,304645654,1834,0
180,304662322,304660355,304662322,1967,0
181,304678990,304678418,304678991,572,0
182,304695659,304700460,304712327,-4801,1
183,304728995,304731995,304745664,-3000,1
184,304762332,304765003,304779001,-2671,1
185,304795669,304797414,304812338,-1745,1
186,304829006,304833962,304845674,-4956,1
187,304862342,304865091,304879011,-2749,1
188,304895679,304897459,304912348,-1780,1
189,304929016,304931489,304945684,-2473,1
190,304962352,304961090,304962353,1262,0
191,304979021,304980669,304995689,-1648,1
192,305012357,305016440,305029026,-4083,1
193,305045694,305050089,305062363,-4395,1
194,305079031,305082515,305095699,-3484,1
195,305112367,305113503,305129036,-1136,1
196,305145704,305150605,305162373,-4901,1
197,305179041,305180240,305195709,-1199,1
198,305212377,305214351,305229046,-1974,1
199,305245714,305246940,305262383,-1226,1
200,305279051,305280559,305295719,-1508,1
201,305312387,305313485,305329056,-1098,1
202,305345724,305348558,305362393,-2834,1
203,305379061,305381597,305395729,-2536,1
204,305412397,305414105,305429066,-1708,1
205,305445734,305447455,305462403,-1721,1
206,305479071,305483086,305495739,-4015,1
207,305512407,305513416,305529076,-1009,1
208,305545744,305547104,305562413,-1360,1
209,305579081,305581182,305595749,-2101,1
210,305612417,305613933,308962754,-1516,201
211,308979422,308981590,308996091,-2168,1
212,309012759,309014024,309029427,-1265,1
213,309046095,309047624,309062764,-1529,1
214,309079432,309078084,309079432,1348,0
215,309096100,309095614,309096101,486,0
216,309112769,309117579,309129437,-4810,1
217,309146105,309148541,309162774,-2436,1
218,309179442,309177924,309179442,1518,0
219,309196110,309200536,309212779,-4426,1
220,309229447,309228778,309229447,669,0
221,309246115,309251209,309262784,-5094,1
222,309279452,309281713,309296121,-2261,1
223,309312789,309314138,309329457,-1349,1
224,309346125,309348541,309362794,-2416,1
225,309379462,309381620,309379462,-2158,0
226,309396130,309398691,309396131,-2561,0
227,309412799,309411745,309412799,1054,0
228,309429467,309433717,309429467,-4250,0
229,309446135,309445647,309446136,488,0
230,309462804,309465927,309462804,-3123,0
231,309479472,309478209,309479472,1263,0
232,309496140,309495455,309496141,685,0
233,309512809,309513384,309512809,-575,0
234,309529477,309534228,309529477,-4751,0
235,309546145,309548199,309562814,-2054,1
236,309579482,309580680,309596151,-1198,1
237,309612819,309614739,309629487,-1920,1
238,309646155,309647098,309646156,-943,0
239,309662824,309661232,309662824,1592,0
240,309679492,309682108,309696161,-2616,1
241,309712829,309714200,309729498,-1371,1
242,309746166,309749141,309762834,-2975,1
243,309779502,309781181,309796171,-1679,1
244,309812839,309817713,309829508,-4874,1
245,309846176,309850278,309862844,-4102,1
246,309879512,309881856,309896181,-2344,1
247,309912849,309914187,309929518,-1338,1
248,309946186,309950846,309962854,-4660,1
249,309979522,309981694,309996191,-2172,1
250,310012859,310014259,310029528,-1400,1
251,310046196,310050888,310062864,-4692,1
252,310079532,310078610,313563216,922,209
253,313579884,313582883,313596552,-2999,1
254,313613220,313614771,313629889,-1551,1
255,313646557,313647767,313663226,-1210,1
256,313679894,313681354,313696562,-1460,1
257,313713230,313712541,313713231,689,0
258,313729899,313734793,313746567,-4894,1
259,313763235,313762563,313763236,672,0
260,313779904,313778762,313779904,1142,0
261,313796572,313801335,313813241,-4763,1
262,313829909,313832069,313846577,-2160,1
263,313863245,313862627,313863246,618,0
264,313879914,313879215,313879914,699,0
265,313896582,313896029,313896582,553,0
266,313913250,313912687,313913251,563,0
267,313929919,313929286,313929919,633,0
268,313946587,313951317,313963256,-4730,1
269,313979924,313984858,313996592,-4934,1
270,314013260,314014162,314029929,-902,1
271,314046597,314048330,314046597,-1733,0
272,314063265,314065975,314063266,-2710,0
273,314079934,314082869,314079934,-2935,0
274,314096602,314099901,314096602,-3299,0
275,314113270,314115323,314113271,-2053,0
276,314129939,314132463,314129939,-2524,0
277,314146607,314148950,314146607,-2343,0
278,314163275,314162030,314163276,1245,0
279,314179944,314181409,314179944,-1465,0
280,314196612,314199440,314213281,-2828,1
281,314229949,314229630,314229949,319,0
282,314246617,314246301,314246617,316,0
283,314263285,314266973,314263286,-3688,0
284,314279954,314281099,314279954,-1145,0
285,314296622,314298732,314296622,-2110,0
286,314313290,314314989,314329959,-1699,1
287,314346627,314345081,314346627,1546,0
288,314363295,314365886,314379964,-2591,1
289,314396632,314398413,314413301,-1781,1
290,314429969,314431551,314429969,-1582,0
291,314446637,314449498,314463306,-2861,1
292,314479974,314481949,314479974,-1975,0
293,314496642,314498387,314513311,-1745,1
294,314529979,314531557,314546648,-1578,1
295,314563316,314563263,318263687,53,222
296,318280355,318282480,318297024,-2125,1
297,318313692,318315020,318313692,-1328,0
298,318330360,318332982,318330360,-2622,0
299,318347028,318347747,318347029,-719,0
