# mode=cont n=300 gap=6.0s card=/dev/dri/card0
seq,vbl_us,ret_us
5556,93825826,93825879
5557,93842494,93842542
5558,93859162,93859220
5559,93875831,93875891
5560,93892499,93892558
5561,93909167,93909238
5562,93925836,93925915
5563,93942504,93942579
5564,93959172,93959225
5565,93975841,93975910
5566,93992509,93992585
5567,94009177,94009228
5568,94025846,94025900
