i,target_us,queued_us,actual_us,headroom_us,missed
0,445597265,445597360,445609797,-95,1
1,451643736,451639251,451656260,4485,1
2,457673530,457670257,457687195,3273,1
3,463704465,463700014,463717067,4451,1
4,469751006,469754040,469770914,-3034,1
5,475788184,475784614,475801457,3570,1
6,481818727,481816115,481833189,2612,1
7,487850459,487846419,487863239,4040,1
8,493880509,493876173,493893040,4336,1
9,499910310,499906428,499923279,3882,1
10,505957218,505956186,505973034,1032,1
11,511990304,511987123,512004283,3181,1
12,518021553,518018127,518034968,3426,1
13,524068907,524066613,524083459,2294,1
14,530100729,530096066,530112898,4663,1
15,536130168,536125388,536142327,4780,1
16,542159597,542155352,542172218,4245,1
17,548189488,548185200,548202032,4288,1
18,554219302,554219575,554236354,-273,1
19,560253624,560248861,560265615,4763,1
20,566282885,566278448,566295272,4437,1
21,572312542,572308275,572325114,4267,1
22,578359053,578357723,578374561,1330,1
23,584391831,584387152,584404009,4679,1
24,590421279,590417189,590434148,4090,1
25,596468087,596464334,596481190,3753,1
26,602515129,602515046,602531886,83,1
27,608549156,608545351,608562414,3805,1
28,614579684,614575130,614591987,4554,1
29,620609257,620605116,620622031,4141,1
