1786455624,12203372,11132860,11289480
1786455630,12203372,10718380,11300280
1786455635,12203372,10292840,11224684
1786455640,12203372,9304436,10276032
1786455645,12203372,9122440,10114236
1786455650,12203372,9178592,10191068
1786455655,12203372,9025416,10055692
1786455660,12203372,9212948,10268332
1786455665,12203372,9190928,10266512
1786455670,12203372,9198812,10293624
1786455675,12203372,9087476,10200244
1786455680,12203372,9139592,10273904
1786455685,12203372,8917036,10076136
1786455690,12203372,9188492,10370352
1786455695,12203372,8883084,10086568
1786455700,12203372,9136676,10364580
1786455705,12203372,8995868,10245232
1786455710,12203372,8777368,10047056
1786455715,12203372,8854376,10143952
1786455720,12203372,8984132,10293424
1786455725,12203372,8967820,10293920
1786455730,12203372,8921976,10267348
1786455735,12203372,8881976,10246784
1786455740,12203372,8837872,10219924
1786455745,12203372,8679132,10119220
1786455750,12203372,8686988,10237652
1786455755,12203372,8759312,10330460
1786455760,12203372,8792016,10384848
1786455765,12203372,8836392,10448688
1786455770,12203372,8811496,10446964
1786455775,12203372,8666544,10324188
1786455780,12203372,8647700,10328552
1786455785,12203372,8726656,10431688
1786455790,12203372,8618376,10346320
1786455795,12203372,8532148,10279328
1786455800,12203372,8626516,10394492
1786455805,12203372,8530136,10317188
1786455810,12203372,8621608,10431892
1786455815,12203372,8480560,10312528
1786455820,12203372,8471920,10324636
1786455825,12203372,8322192,10193796
1786455830,12203372,8390476,10282268
1786455835,12203372,8430564,10342944
1786455840,12203372,8469552,10401876
1786455845,12203372,8522024,10475556
1786455850,12203372,8047300,10355108
1786455855,12203372,8501172,10992992
1786455860,12203372,8135220,11098304
1786455865,12203372,8131628,11163788
1786455870,12203372,7122548,10205704
1786455875,12203372,6588860,9675848
1786455880,12203372,6871900,9965332
1786455885,12203372,6618200,9771392
1786455890,12203372,6909032,10077736
1786455895,12203372,6938960,10117768
1786455900,12203372,7087292,10273400
1786455905,12203372,6792612,9987964
1786455910,12203372,7622712,10842160
1786455915,12203372,7354768,10629556
1786455920,12203372,7367680,10656516
1786455925,12203372,6297008,10149076
1786455930,12203372,5727500,10011608
1786455935,12203372,5163304,9829364
1786455940,12203372,4675224,9662456
1786455945,12203372,3494292,8640712
1786455950,12203372,3857668,9302752
1786455955,12203372,3614260,9210692
1786455960,12203372,4018824,9823024
1786455965,12203372,3327632,9261604
1786455970,12203372,2279548,8312844
1786455975,12203372,2335948,8723300
1786455980,12203372,3579860,10127624
1786455985,12203372,3667116,10276416
1786455990,12203372,3295852,9905388
1786455995,12203372,2854352,9464672
1786456000,12203372,2536380,9177736
1786456005,12203372,1905352,8550904
1786456010,12203372,971596,7617916
1786456015,12203372,277992,6928224
1786456020,12203372,356476,7059504
1786456025,12203372,346520,7067920
1786456030,12203372,177592,6841844
1786456035,12203372,267460,6966864
1786456040,12203372,353652,7120284
1786456045,12203372,3945072,10778232
1786456050,12203372,703324,7543360
1786456055,12203372,128752,6878284
1786456060,12203372,165340,5369888
1786456065,12203372,2536388,7165916
1786456070,12203372,2282080,6982568
1786456075,12203372,1504112,6257748
1786456080,12203372,1235172,6155284
1786456085,12203372,2558792,7635596
1786456090,12203372,2743116,7938424
1786456095,12203372,2745588,8053300
1786456100,12203372,2669192,8085472
1786456105,12203372,2564752,8085488
1786456110,12203372,2428916,8060420
1786456115,12203372,1369332,7300020
