1786455060,12203372,11339628,11497940
1786455065,12203372,10787040,11370136
1786455070,12203372,10288776,11226012
1786455075,12203372,9431272,10404928
1786455080,12203372,9209276,10202888
1786455085,12203372,9188148,10202804
1786455090,12203372,9103260,10136380
1786455095,12203372,8940972,9993124
1786455100,12203372,9347268,10423796
1786455105,12203372,9265296,10361288
1786455110,12203372,9202412,10318372
1786455115,12203372,9217192,10357524
1786455120,12203372,9101716,10261888
1786455125,12203372,8965204,10149828
1786455130,12203372,9081796,10286240
1786455135,12203372,8900796,10125748
1786455140,12203372,9075356,10322300
1786455145,12203372,8572760,9841800
1786455150,12203372,8887616,10175432
1786455155,12203372,9003332,10312588
1786455160,12203372,8924996,10252232
1786455165,12203372,8734904,10079680
1786455170,12203372,8859164,10222576
1786455175,12203372,8864240,10244112
1786455180,12203372,8936828,10334604
1786455185,12203372,8941044,10358360
1786455190,12203372,9005728,10441572
1786455195,12203372,8996892,10452956
1786455200,12203372,9045560,10521896
1786455205,12203372,8901220,10402792
1786455210,12203372,9028212,10548080
1786455215,12203372,8774776,10319248
1786455220,12203372,8805460,10371612
1786455225,12203372,8818400,10406156
1786455230,12203372,8730904,10338132
1786455235,12203372,8645356,10270516
1786455240,12203372,8731688,10376976
1786455245,12203372,8564456,10227404
1786455250,12203372,8661544,10344120
1786455255,12203372,8674828,10376744
1786455260,12203372,8415028,10134888
1786455265,12203372,8448940,10187540
1786455270,12203372,8712060,10472268
1786455275,12203372,8563152,10344028
1786455280,12203372,8638712,10439672
1786455285,12203372,8374412,10521212
1786455290,12203372,8212968,10520708
1786455295,12203372,8501328,11076776
1786455300,12203372,8277696,11140980
1786455305,12203372,7427836,10363380
1786455310,12203372,6917088,9856936
1786455315,12203372,6837220,9781408
1786455320,12203372,6507904,9511612
1786455325,12203372,6786892,9804728
1786455330,12203372,6812440,9840956
1786455335,12203372,6977156,10015172
1786455340,12203372,6903552,9949652
1786455345,12203372,7069532,10138144
1786455350,12203372,7464540,10561284
1786455355,12203372,7039000,10176108
1786455360,12203372,6500696,10077896
1786455365,12203372,6002208,10038492
1786455370,12203372,5829480,10251584
1786455375,12203372,5144964,9922752
1786455380,12203372,3730840,8723408
1786455385,12203372,3913764,9187744
1786455390,12203372,3868896,9305408
1786455395,12203372,4107788,9742228
1786455400,12203372,3632372,9428628
1786455405,12203372,2554624,8447080
1786455410,12203372,2456372,8695408
1786455415,12203372,3563784,9972144
1786455420,12203372,3655020,10137640
1786455425,12203372,3395044,9877808
1786455430,12203372,3007428,9490972
1786455435,12203372,2658056,9172420
1786455441,12203372,2082632,8601556
1786455446,12203372,1192840,7712568
1786455451,12203372,268224,6862088
1786455456,12203372,267816,6914204
1786455461,12203372,421128,7085788
1786455466,12203372,167676,6906828
1786455471,12203372,260396,6969644
1786455476,12203372,478412,7251432
1786455481,12203372,4286704,11064536
1786455486,12203372,972404,7755924
1786455491,12203372,320600,7005204
1786455496,12203372,103648,5412840
1786455501,12203372,2528992,6889348
1786455506,12203372,2497324,6926736
1786455511,12203372,1685464,6169352
1786455516,12203372,1608124,6220576
1786455521,12203372,3025988,7833972
1786455526,12203372,3106488,8033648
1786455531,12203372,3065732,8104892
1786455536,12203372,3005560,8153608
1786455541,12203372,2906672,8160020
1786455546,12203372,2803120,8169036
1786455551,12203372,1631312,7390948
