[virglrs] vrend video: 42 frames  0.04 ms/frame  max 0.07 ms/command  0.1% of wall  (n=84 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.04 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.07 ms/frame  max 0.18 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.06 ms/frame  max 0.08 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.05 ms/frame  max 0.15 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.08 ms/frame  max 0.10 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.08 ms/frame  max 0.11 ms/command  0.3% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.08 ms/frame  max 0.09 ms/command  0.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 60 frames  0.08 ms/frame  max 0.17 ms/command  0.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.11 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.08 ms/frame  max 0.12 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.40 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.07 ms/frame  max 0.20 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.10 ms/frame  max 0.21 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.10 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 62 frames  0.06 ms/frame  max 0.09 ms/command  0.2% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.09 ms/frame  max 0.10 ms/command  0.3% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.09 ms/frame  max 0.20 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.09 ms/frame  max 0.09 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.10 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 59 frames  0.10 ms/frame  max 0.30 ms/command  0.3% of wall  (n=118 command over 2.0s)
[virglrs] vrend video: 62 frames  0.08 ms/frame  max 0.23 ms/command  0.2% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.12 ms/command  0.3% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.08 ms/frame  max 0.11 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.08 ms/frame  max 0.14 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.07 ms/frame  max 0.10 ms/command  0.2% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.09 ms/frame  max 0.10 ms/command  0.3% of wall  (n=120 command over 2.0s)
