[virglrs] vrend video: 44 frames  0.02 ms/frame  max 0.06 ms/command  0.0% of wall  (n=88 command over 2.0s)
[virglrs] vrend video: 60 frames  0.01 ms/frame  max 0.03 ms/command  0.0% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.05 ms/frame  max 1.35 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.30 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.08 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.17 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.21 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.07 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 60 frames  0.07 ms/frame  max 1.88 ms/command  0.2% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.06 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.08 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.14 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  0.03 ms/frame  max 0.13 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 67 frames  0.06 ms/frame  max 1.11 ms/command  0.2% of wall  (n=134 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.37 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  0.05 ms/frame  max 0.74 ms/command  0.2% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 65 frames  0.04 ms/frame  max 0.32 ms/command  0.1% of wall  (n=130 command over 2.0s)
[virglrs] vrend video: 66 frames  0.04 ms/frame  max 0.34 ms/command  0.1% of wall  (n=132 command over 2.0s)
[virglrs] vrend video: 62 frames  0.04 ms/frame  max 0.10 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 60 frames  0.04 ms/frame  max 0.12 ms/command  0.1% of wall  (n=120 command over 2.0s)
[virglrs] vrend video: 62 frames  0.03 ms/frame  max 0.08 ms/command  0.1% of wall  (n=124 command over 2.0s)
[virglrs] vrend video: 61 frames  0.03 ms/frame  max 0.07 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 61 frames  0.04 ms/frame  max 0.14 ms/command  0.1% of wall  (n=122 command over 2.0s)
[virglrs] vrend video: 63 frames  0.04 ms/frame  max 0.14 ms/command  0.1% of wall  (n=126 command over 2.0s)
