ts_ms,ic_balance,ic_credit,ic_debit,phys_footprint,swappedout_segs
1786397872689,0,0,0,7468948127,44
1786397942666,143881404,144955146,1073741,5873367777,44
1786397952687,143881404,144955146,1073741,5875515260,44
1786397962758,143881404,144955146,1073741,5877662744,44
1786397972781,143881404,144955146,1073741,5879810228,44
1786397982789,142807662,144955146,2147483,5880883970,44
1786397992802,142807662,144955146,2147483,5883031453,44
1786398002849,142807662,144955146,2147483,5883031453,44
1786398012866,142807662,144955146,2147483,5885178937,44
1786398023056,142807662,144955146,2147483,5886252679,44
1786398033070,142807662,144955146,2147483,5886252679,44
1786398043273,142807662,144955146,2147483,5887326420,44
1786398053482,142807662,144955146,2147483,5888400162,44
1786398063527,142807662,144955146,2147483,5888400162,44
1786398073558,142807662,144955146,2147483,5888400162,44
1786398083581,142807662,144955146,2147483,5888400162,44
1786398093787,142807662,144955146,2147483,5890547646,44
1786398104016,142807662,144955146,2147483,5892695130,44
1786398114028,142807662,144955146,2147483,5893768871,44
1786398124035,142807662,144955146,2147483,5894842613,44
1786398134054,142807662,144955146,2147483,5895916355,44
1786398144068,142807662,144955146,2147483,5896990097,44
1786398154074,142807662,144955146,2147483,5898063839,44
1786398164059,135291469,144955146,9663676,5900211322,44
1786398174075,135291469,144955146,9663676,5902358806,44
1786398184080,135291469,144955146,9663676,5903432548,44
1786398194095,134217728,144955146,9663676,5903432548,44
1786398204124,134217728,144955146,9663676,5903432548,44
1786398214157,134217728,144955146,9663676,5903432548,44
1786398224165,134217728,144955146,9663676,5903432548,44
1786398234367,134217728,144955146,10737418,5903432548,44
1786398244412,134217728,144955146,10737418,5904506290,44
1786398254442,134217728,144955146,10737418,5904506290,44
1786398264446,134217728,144955146,10737418,5904506290,44
1786398274641,134217728,144955146,10737418,5904506290,44
1786398284675,134217728,144955146,10737418,5905580032,44
1786398292804,134217728,144955146,10737418,5905580032,44
1786398352805,84825604,224412041,139586437,5432059887,44
1786398420029,84825604,224412041,139586437,5433133629,43
1786398484492,57982058,224412041,166429982,6748467363,43
1786398554412,1057635696,1229434388,171798691,6266357284,21092
1786398564623,1057635696,1229434388,171798691,6266357284,20981
1786398574630,1056561954,1229434388,171798691,6266357284,20948
1786398584677,1056561954,1229434388,172872433,6267431026,20824
1786398594878,1056561954,1229434388,172872433,6267431026,20748
1786398604900,1056561954,1229434388,172872433,6268504768,20687
1786398614908,1055488212,1229434388,172872433,6268504768,20658
1786398624933,1055488212,1229434388,172872433,6268504768,20616
1786398634939,1055488212,1229434388,172872433,6269578510,20612
1786398644943,1055488212,1229434388,173946175,6270652252,20528
1786398654986,1054414471,1229434388,173946175,6270652252,20516
1786398664996,1054414471,1229434388,175019917,6271725993,20512
1786398674992,1053340729,1229434388,175019917,6272799735,20510
1786398685030,1053340729,1229434388,176093659,6273873477,20505
1786398695021,1052266987,1229434388,176093659,6274947219,20504
1786398705063,1052266987,1229434388,177167400,6274947219,20489
1786398715079,1051193245,1229434388,177167400,6276020961,20485
1786398725096,1051193245,1229434388,178241142,6277094703,20484
1786398735293,1050119503,1229434388,178241142,6277094703,20481
1786398745500,1050119503,1229434388,179314884,6278168444,20479
1786398755669,1050119503,1229434388,179314884,6279242186,20477
1786398765679,1049045762,1229434388,179314884,6279242186,20474
1786398775886,1045824536,1229434388,183609851,6285684637,20439
1786398786091,1045824536,1229434388,183609851,6286758379,20439
1786398796111,1045824536,1229434388,183609851,6287832121,20439
1786398806299,1045824536,1229434388,183609851,6288905863,20277
1786398816333,1045824536,1229434388,183609851,6288905863,20155
1786398826361,1044750794,1229434388,184683593,6288905863,20153
1786398836394,1044750794,1229434388,184683593,6288905863,20150
1786398846548,1044750794,1229434388,184683593,6289979604,20150
1786398856589,1044750794,1229434388,184683593,6289979604,20149
1786398866606,1044750794,1229434388,184683593,6289979604,20144
1786398876598,1044750794,1229434388,184683593,6289979604,20144
1786398886615,1044750794,1229434388,184683593,6291053346,20144
1786398896643,1044750794,1229434388,184683593,6292127088,20142
1786398904807,1044750794,1229434388,184683593,6292127088,20141
1786398964873,259845521,1229434388,968515125,4888746524,41622
1786399033021,265214230,1234803097,969588867,4888746524,14247
1786399096342,183609851,1234803097,1051193245,4817879564,13509
1786399166435,1002874863,3558380404,2555505541,5433133629,41359
1786399176497,952408997,3588445175,2634962436,5441723564,42498
1786399186504,951335256,3588445175,2637109919,5441723564,42981
1786399196517,950261514,3588445175,2638183661,5442797305,42899
1786399206551,949187772,3588445175,2639257403,5442797305,42792
