ts_ms,ic_balance,ic_credit,ic_debit,phys_footprint
1786394728377,0,0,0,5917391192
1786394798302,1127428915,2178622160,1052266987,5920612417
1786394798505,1127428915,2178622160,1052266987,5920612417
1786394858580,973883834,2179695902,1206885810,5894842613
1786394920334,709743345,2180769644,1469952557,5432059887
1786394980802,682899800,2180769644,1497869844,5427764920
1786395050844,677531090,2180769644,1502164811,5427764920
1786395061022,677531090,2180769644,1503238553,5427764920
1786395071042,677531090,2180769644,1503238553,5427764920
1786395081043,677531090,2180769644,1503238553,5428838662
1786395091246,677531090,2180769644,1503238553,5428838662
1786395101262,677531090,2180769644,1503238553,5428838662
1786395111446,676457349,2180769644,1504312295,5428838662
1786395121639,676457349,2180769644,1504312295,5428838662
1786395131677,676457349,2180769644,1504312295,5428838662
1786395141676,676457349,2180769644,1504312295,5428838662
1786395151682,676457349,2180769644,1504312295,5428838662
1786395161707,676457349,2180769644,1504312295,5428838662
1786395171732,676457349,2180769644,1504312295,5428838662
1786395181794,675383607,2180769644,1504312295,5428838662
1786395191982,675383607,2180769644,1504312295,5428838662
1786395202173,675383607,2180769644,1504312295,5428838662
1786395212387,675383607,2180769644,1504312295,5428838662
1786395222419,675383607,2180769644,1505386037,5428838662
1786395232426,675383607,2180769644,1505386037,5428838662
1786395242460,675383607,2180769644,1505386037,5428838662
1786395252476,675383607,2180769644,1505386037,5428838662
1786395262691,675383607,2180769644,1505386037,5428838662
1786395272732,674309865,2180769644,1505386037,5428838662
1786395282740,674309865,2180769644,1505386037,5428838662
1786395292788,674309865,2180769644,1505386037,5428838662
1786395302803,674309865,2180769644,1505386037,5428838662
1786395312850,674309865,2180769644,1505386037,5428838662
1786395323044,674309865,2180769644,1506459779,5428838662
1786395333247,673236123,2180769644,1506459779,5428838662
1786395343286,673236123,2180769644,1506459779,5428838662
1786395353322,673236123,2180769644,1507533520,5428838662
1786395363355,673236123,2180769644,1507533520,5428838662
1786395373397,673236123,2180769644,1507533520,5428838662
1786395383438,673236123,2180769644,1507533520,5428838662
1786395393462,673236123,2180769644,1507533520,5428838662
1786395400963,673236123,2180769644,1507533520,5428838662
1786395460974,675383607,2183990870,1508607262,5337570607
1786395522688,435939180,2183990870,1746977947,4711579123
1786395583213,427349245,2183990870,1756641624,4707284156
1786395653135,426275504,2183990870,1757715365,4708357898
1786395663317,426275504,2183990870,1757715365,4708357898
